Time,Surge,Sway,Heave,Yaw,Depth,Yaw Angle,Desired Depth
1743408071,0.2421428571428572,0.025,0.3867000334887801,0.005000000000000001,0.0,,68
1743408071,0.2161428571428572,0.028125,0.38506461856563734,0.005625000000000001,0.0,,68
1743408072,0.21842857142857142,0.022916666666666665,0.38225404753228875,0.004583333333333333,0.0,,68
1743408072,0.20228571428571424,0.013541666666666667,0.3810663125041228,0.0027083333333333334,0.0,,68
1743408072,0.24328571428571433,0.00625,0.38132407318030703,0.0012500000000000002,0.0,,68
1743408072,0.23571428571428568,0.003125,0.37996033565235104,0.0006250000000000001,0.0,,68
1743408072,0.27871428571428564,0.0010416666666666667,0.37936664669153974,0.00020833333333333335,0.0,,68
1743408072,0.2582857142857142,0.0020833333333333333,0.38182418918395955,0.0004166666666666667,0.0,,68
1743408072,0.29000000000000004,-0.013541666666666667,0.3825410591617958,-0.0027083333333333334,0.0,,68
1743408072,0.3044285714285715,-0.017708333333333333,0.37848550492868105,-0.003541666666666667,0.0,,68
1743408072,0.3277142857142857,-0.022916666666666665,0.3787270873435273,-0.004583333333333333,0.0,,68
1743408072,0.28757142857142853,-0.0375,0.38328842272074093,-0.0075,0.0,,68
1743408072,0.3325714285714286,-0.051041666666666666,0.3830961213542559,-0.010208333333333333,0.0,,68
1743408072,0.3395714285714287,-0.04583333333333333,0.38186113252602877,-0.009166666666666667,0.0,,68
1743408072,0.32228571428571434,-0.052083333333333336,0.38077286953951517,-0.010416666666666668,0.0,,68
1743408072,0.33857142857142863,-0.07395833333333333,0.3819441031066761,-0.014791666666666668,0.0,,68
1743408072,0.32400000000000007,-0.10833333333333334,0.3820866075361289,-0.021666666666666667,0.0,,68
1743408072,0.30785714285714283,-0.1125,0.37728088423161577,-0.022500000000000003,0.0,,68
1743408072,0.3025714285714286,-0.11875,0.3775861918714274,-0.02375,0.0,,68
1743408072,0.28114285714285714,-0.11979166666666667,0.3797347355733279,-0.023958333333333335,0.0,,68
1743408072,0.29885714285714293,-0.11979166666666667,0.3817479853000359,-0.023958333333333335,0.0,,68
1743408072,0.337,-0.12604166666666666,0.3802212104279371,-0.025208333333333333,0.0,,68
1743408072,0.2982857142857143,-0.14895833333333333,0.3770345545982245,-0.029791666666666668,0.0,,68
1743408072,0.2954285714285715,-0.16354166666666667,0.3762120369187306,-0.03270833333333333,0.0,,68
1743408072,0.35214285714285715,-0.16875,0.375772349419594,-0.03375,0.0,,68
1743408073,0.3154285714285714,-0.17291666666666666,0.37554675031102164,-0.034583333333333334,0.0,,68
1743408073,0.31557142857142867,-0.19375,0.3781433331404854,-0.03875000000000001,0.0,,68
1743408073,0.3652857142857143,-0.20208333333333334,0.3791531129688491,-0.04041666666666667,0.0,,68
1743408073,0.3365714285714286,-0.20104166666666667,0.3793681583656355,-0.04020833333333334,0.0,,68
1743408073,0.38771428571428573,-0.196875,0.3798995287468484,-0.039375,0.0,,68
1743408073,0.4162857142857142,-0.20729166666666668,0.37808390640921397,-0.04145833333333334,0.0,,68
1743408073,0.4011428571428571,-0.21979166666666666,0.37720007074514705,-0.043958333333333335,0.0,,68
1743408073,0.4265714285714286,-0.209375,0.3779397130745965,-0.041875,0.0,,68
1743408073,0.5052857142857142,-0.21770833333333334,0.3796479865050172,-0.04354166666666667,0.0,,68
1743408073,0.5277142857142858,-0.22604166666666667,0.3785671345485955,-0.045208333333333336,0.0,,68
1743408073,0.5194285714285715,-0.21145833333333333,0.37850867125401505,-0.04229166666666667,0.0,,68
1743408073,0.0,0.0,0.0,0.0,0.0,,68
1743408073,0.5555714285714286,-0.2,0.37919573835191933,-0.04000000000000001,0.0,,68
1743408073,0.542,-0.21041666666666667,0.37887083102320346,-0.042083333333333334,0.0,,68
1743408073,0.5584285714285715,-0.20625,0.3758126841135142,-0.04125,0.0,,68
1743408073,0.0,0.0,0.0,0.0,0.0,,68
1743408073,0.0,0.0,0.0,0.0,0.0,,68
1743408073,0.0,0.0,0.0,0.0,0.0,,68
1743408073,0.0,0.0,0.0,0.0,0.0,,68
1743408073,0.0,0.0,0.0,0.0,0.0,,68
1743408073,0.0,0.0,0.0,0.0,0.0,,68
1743408073,0.0,0.0,0.0,0.0,0.0,,68
1743408073,0.0,0.0,0.0,0.0,0.0,,68
1743408073,0.0,0.0,0.0,0.0,0.0,,68
1743408074,0.0,0.0,0.0,0.0,0.0,,68
1743408074,0.0,0.0,0.0,0.0,0.0,,68
1743408074,0.0,0.0,0.0,0.0,0.0,,68
1743408074,0.0,0.0,0.0,0.0,0.0,,68
1743408074,0.0,0.0,0.0,0.0,0.0,,68
1743408074,0.0,0.0,0.0,0.0,0.0,,68
1743408074,0.0,0.0,0.0,0.0,0.0,,68
1743408074,0.0,0.0,0.0,0.0,0.0,,68
1743408074,0.0,0.0,0.0,0.0,0.0,,68
1743408074,0.0,0.0,0.0,0.0,0.0,,68
1743408074,0.0,0.0,0.0,0.0,0.0,,68
1743408074,0.0,0.0,0.0,0.0,0.0,,68
