               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.016053,           0.0078138,                   0,             0.99933,                   1,               0.995,             0.82667,           0.0052073,            0.001644,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.018318,           0.0081007,                   0,             0.99925,                   1,               0.995,             0.88297,           0.0038772,           0.0015569,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.014555,           0.0078644,                   0,             0.99921,                   1,               0.995,             0.87878,             0.00399,           0.0016139,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.015985,            0.007825,                   0,             0.99916,                   1,               0.995,             0.86009,            0.004981,           0.0015843,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.014641,           0.0075223,                   0,             0.99927,                   1,               0.995,             0.86674,           0.0043458,           0.0016509,                   0,            0.001684,            0.001684,            0.001684
                  44,             0.01741,           0.0078231,                   0,             0.99927,                   1,               0.995,             0.87116,           0.0038715,           0.0015816,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.016308,           0.0071018,                   0,              0.9993,                   1,               0.995,              0.8093,           0.0052899,           0.0016172,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.012296,           0.0072589,                   0,             0.99929,                   1,               0.995,             0.86382,           0.0042417,           0.0014959,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.013171,           0.0072765,                   0,             0.99927,                   1,               0.995,             0.88998,           0.0037198,           0.0014432,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.012625,           0.0069504,                   0,             0.99928,                   1,               0.995,              0.8398,           0.0043371,           0.0015328,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.015068,           0.0076128,                   0,             0.99927,                   1,               0.995,             0.87386,           0.0038234,           0.0014718,                   0,            0.000496,            0.000496,            0.000496
